movie_name,youtube_video_id,title,published_at,views,likes,comments,release_date,tmdb_rating,tmdb_overview,genres,like_view_ratio,comment_view_ratio,engagement_score,days_before_release,like_view_pct,comment_view_pct,engagement_pct,engagement_level,early_buzz,Box Office Collection,Budget (Cost+ P&A),Verdict
Param Sundari,fdWnfzsx-ks,Param Sundari - Official Trailer | Sidharth M | Janhvi K | Dinesh V | Tushar J | In Cinemas 29th Aug,12-08-2025 08:30,51902702,533830,39636,29-08-2025,6.4,"In Kerala's picturesque backwaters, a North Indian and South Indian find unexpected love. Their cultural differences spark a hilarious and chaotic romance, full of twists and turns.","Romance, Drama, Comedy",0.0103,0.0008,0.011,16,1.03,0.08,1.1,low,0,47.75 Crore,60 Crore,Flop
Baaghi 4,58909OjAfeg,"Baaghi 4 Trailer | Tiger, Sanjay, Harnaaz, Sonam | Sajid Nadiadwala | A.Harsha | In Cinemas 5th Sept",30-08-2025 05:44,9636269,289886,23052,05-09-2025,4.9,"After waking up from a coma, a grieving man sets out to uncover the truth about his missing girlfriend.","Action, Thriller, Drama, Crime",0.0301,0.0024,0.0325,5,3.01,0.24,3.25,medium,1,50.65 Crore,120 Crore,Flop
Nishaanchi,QKem0b7Q40I,Nishaanchi - Official Trailer | In Cinemas - September 19 | Amazon MGM Studios India,03-09-2025 08:15,25342842,16823,579,19-09-2025,8.333,"Twin brothers, identical looks but different values, face brotherhood, betrayal, love, and redemption. Their paths weave through crime into a deeper story of human nature and its results.","Crime, Drama",0.0007,0,0.0007,15,0.07,0,0.07,low,0,1.15 Crore,25 Crore,Flop
Ajey: The Untold Story of a Yogi,W-fmFr-pvIk,Ajey - The Untold Story Of A Yogi | Trailer |  Anant J | Paresh R | Nirahua | Ajay Mengi | 19th Sept,04-09-2025 06:29,19059722,71903,4925,19-09-2025,0,"Follows the personal and spiritual journey of Ajay Mohan Singh Bisht, detailing his transformation into one of India's most influential political leaders.",Drama,0.0038,0.0003,0.004,14,0.38,0.03,0.4,low,0,1.35 Crore,15 Crore,Flop
The Bengal Files,3MfsZFAeNO8,THE BENGAL FILES Official Trailer | Vivek Agnihotri | Abhishek A | Pallavi J | Zee Studios | 5 Sept,16-08-2025 07:30,21914676,408318,39758,05-09-2025,5.5,"A criminal investigator uncovers a web of corruption during a missing person investigation, while a figure connected to the case reflects on the communal violence which broke out ahead of India's partition.","Drama, History, Thriller",0.0186,0.0018,0.0204,19,1.86,0.18,2.04,medium,1,14.05 Crore,35 Crore,Flop
Conjuring 4,bMgfsdYoEEo,The Conjuring: Last Rites | Official Trailer,31-07-2025 16:00,25049106,224075,6656,03-09-2025,6.988,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,Horror,0.0089,0.0003,0.0092,33,0.89,0.03,0.92,low,0,80 Crore,484 Crore,Hit
Ek Chatur Naar,t-WME4yy2Wo,Ek Chatur Naar (Official Trailer): Divya Khossla | Neil Nitin Mukesh | Umesh Shukla | 12th Sep 2025,25-08-2025 05:30,20522638,417776,7940,12-09-2025,0,"Abhishek Verma, a fund consultant, gets trapped in a web of lies, deception and blackmail after a good-for-nothing but cunning woman, failing to make ends meet, gets her hands on his phone, which lets slip more than anyone should know, forcing him to comply.","Drama, Comedy, Crime",0.0204,0.0004,0.0207,17,2.04,0.04,2.07,medium,1,2.9 Crore,25 Crore,Flop
Heer Express,ORdm2BEIl5Q,Heer Express - Official Trailer | Divita Juneja | Prit Kamani | Ashutosh Rana | Gulshan G |Sanjay M,15-07-2025 08:01,8791159,87593,812,12-09-2025,0,"After moving to London to open a restaurant, a young woman finds herself encountering new love and new family.","Comedy, Drama, Family",0.01,0.0001,0.0101,58,1,0.01,1.01,low,0,2.25 Crore,25 Crore,Flop
War 2 ( Hindi),mjBym9uKth4,WAR 2 | Official Trailer | Hrithik Roshan | NTR | Kiara Advani | Ayan Mukerji | YRF Spy Universe,25-07-2025 04:38,48544780,741671,40031,14-08-2025,,,Unknown,0.0153,0.0008,0.0161,16,1.53,0.08,1.61,low,1,169.39 Crore,400 Crore,Flop
Coolie ( Hindi),PuzNA314WCI,Coolie - Official Hindi Trailer | Superstar Rajinikanth | Sun Pictures | Lokesh | Anirudh,02-08-2025 15:18,15731918,278728,7917,14-08-2025,,,Unknown,0.0177,0.0005,0.0182,16,1.77,0.05,1.82,low,1,33.15 Crore,400 Crore,Hit
War 2 ( All Languages),mjBym9uKth4,WAR 2 | Official Trailer | Hrithik Roshan | NTR | Kiara Advani | Ayan Mukerji | YRF Spy Universe,25-07-2025 04:38,48544780,741671,40031,14-08-2025,,,Unknown,0.0153,0.0008,0.0161,16,1.53,0.08,1.61,low,1,226.1 Crore,400 Crore,Flop
Vash Level 2 (Hindi),0WL7sUmOYNs,"Vash Level 2 | Hindi Trailer | Janki Bodiwala, Hiten Kumar | Hindi | Netflix India",21-10-2025 14:35,2524664,19458,803,27-08-2025,,,Unknown,0.0077,0.0003,0.008,16,0.77,0.03,0.8,low,0,5.1 Crore,8 Crore,Hit
Saiyaara,9r-tT5IN0vg,Saiyaara | Official Trailer | Ahaan Panday | Aneet Padda | Mohit Suri,08-07-2025 05:30,77990007,801723,31369,18-07-2025,6.3,"Two artistic souls find harmony through music despite their contrasting worlds. As feelings deepen, age and circumstances challenge their undeniable bond.","Romance, Drama, Music",0.0103,0.0004,0.0107,9,1.03,0.04,1.07,low,0,321 Crore,60 Crore,Blockbuster
Mahavatar Narsimha ( Hindi),p7eE_dn9u4k,Mahavatar Narsimha Official Hindi Trailer | July 25th Grand Release | Hombale Films,09-07-2025 12:30,25637897,490015,17554,25-07-2025,,,Unknown,0.0191,0.0007,0.0198,16,1.91,0.07,1.98,low,1,111 Crore,35 Crore,Super Hit
Son of Sardaar 2,HSX_KPfbP1o,Son Of Sardaar 2 - OFFICIAL TRAILER | Ajay Devgn & Mrunal Thakur | Vijay Kumar Arora | 1st August,11-07-2025 07:08,48034755,258627,14238,01-08-2025,4.2,"Years after settling an epic family feud and surviving house arrest in Punjab, Jassi Singh Randhawa returns this time chasing love, not trouble. But when he lands in Scotland to win back his estranged wife, he stumbles into a hostage crisis, a mafia war and the most bizarre Sardaar wedding of the century.","Comedy, Drama",0.0054,0.0003,0.0057,20,0.54,0.03,0.57,low,0,44.45 Crore,150 Crore,Disaster
Dhadak 2,GRq6nXiJdug,DHADAK 2 - OFFICIAL TRAILER | Siddhant Chaturvedi | Triptii Dimri | Shazia Iqbal | 1st August,11-07-2025 09:15,7793979,143937,7983,01-08-2025,7.8,"When Neelesh, an idealistic law student from a marginalised section of society, steps into a prestigious institution, he is thrust into a world that doesn't reflect his own. His friendship with Vidhi offers hope-until a wave of tragedy exposes the deep-rooted hierarchies he tried to outrun. He must confront the invisible forces that shape who we are allowed to become and who we are allowed to love.","Romance, Drama",0.0185,0.001,0.0195,20,1.85,0.1,1.95,low,1,22.65 Crore,60 Crore,Disaster
Fantastic Four,18QQWa5MEcs,The Fantastic Four: First Steps | Final Trailer | Only in Theaters July 25,25-06-2025 13:00,16906656,310172,20522,29-06-2005,5.801,"During a space voyage, four scientists are altered by cosmic rays: Reed Richards gains the ability to stretch his body; Sue Storm can become invisible; Johnny Storm controls fire; and Ben Grimm is turned into a super-strong … thing. Together, these ""Fantastic Four"" must now thwart the evil plans of Dr. Doom and save the world from certain destruction.","Action, Fantasy, Science Fiction",0.0183,0.0012,0.0196,24,1.83,0.12,1.96,low,1,33.5 Crore,1728 Crore,Hit
Superman,Ox8ZLF6cGM0,Superman | Official Trailer | DC,14-05-2025 15:45,36167971,578302,35558,09-07-2025,7.4,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.","Science Fiction, Adventure, Action",0.016,0.001,0.017,55,1.6,0.1,1.7,low,1,46.24 Crore,1886 Crore,Hit
Sitaare Zameen Par,YH6k5weqwy8,Sitaare Zameen Par | Official Trailer | Aamir Khan | Genelia Deshmukh | 20th June 2025,13-05-2025 14:40,88034097,859448,55496,20-06-2025,7.222,A disgraced basketball coach is given the chance to coach a team of players who are intellectually disabled as part of community services. Gulshan has apprehensions at first and feels out of place but soon realizes they just might have what it takes to make it to the national championships.,"Comedy, Drama",0.0098,0.0006,0.0104,37,0.98,0.06,1.04,low,0,161.25 Crore,90 Crore,Hit
Metro In Dino,Wm2R3aJPY2M,Metro…In Dino (Official Trailer) | Anurag Basu | Bhushan Kumar | Releasing in Cinemas on 4th July,04-06-2025 08:31,34409720,445279,16738,04-07-2025,6,"Follows interconnected stories of several different couples, each facing a crossroads at different stages in their lives and relationships.","Drama, Romance, Comedy",0.0129,0.0005,0.0134,29,1.29,0.05,1.34,low,0,48.15 Crore,100 Crore,Flop
Maalik,0itY1Fhvnnk,"Maalik Trailer | Rajkummar Rao, Manushi Chhillar, Prosenjit |Pulkit, Kumar Taurani & Jay S|11th July",01-07-2025 08:14,32051920,249829,11259,01-01-1972,0,"After marrying Rajesh and Savitri must face their many differences, among which the most crucial is that while Rajesh is a devout Hindu and follower of Lord Krishna, Savitri does not believe in God.",Unknown,0.0078,0.0004,0.0081,16,0.78,0.04,0.81,low,0,23.2 Crore,65 Crore,Flop
Jurassic World Rebirth,jan5CFWs9ic,Jurassic World Rebirth | Official Trailer,05-02-2025 13:00,54795540,526391,40606,01-07-2025,6.392,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.","Science Fiction, Adventure, Action",0.0096,0.0007,0.0103,145,0.96,0.07,1.03,low,0,86.82 Crore,1537 Crore,Hit
F1 The Movie,69ffwl-8pCU,F1 | Official Trailer,13-03-2025 19:03,8218599,176498,5074,11-05-2022,0,Feel the adrenaline and excitement of racing at the highest level in the official movie of the Waffle F1 Championship.,"Drama, Action, Documentary",0.0215,0.0006,0.0221,24,2.15,0.06,2.21,medium,1,87.14 Crore,2565 Crore,Hit
Tanvi The Great,AXxoNlTbzwQ,"Tanvi The Great - Official Trailer | Anupam Kher, Shubhangi, Pallavi, Boman | MM Keeravaani| 18 July",07-07-2025 07:30,400729,4564,266,18-07-2025,7,"Autistic young Tanvi Raina learns of her deceased Indian Army father's dream to salute the flag at Siachen Glacier. Despite barriers facing those neurodivergent in military service, she resolves to complete his mission.",Drama,0.0114,0.0007,0.0121,10,1.14,0.07,1.21,low,0,1.25 Crore,50 Crore,—
Smurfs,s18jQqtGsMw,Smurfs | Official Trailer (2025 Movie) – Rihanna,14-05-2025 13:08,2544024,9701,2800,05-07-2025,5.9,"When Papa Smurf is mysteriously taken by evil wizards, Razamel and Gargamel, Smurfette leads the Smurfs on a mission into the real world to save him. With the help of new friends, the Smurfs must discover what defines their destiny to save the universe.","Animation, Family, Fantasy",0.0038,0.0011,0.0049,51,0.38,0.11,0.49,low,0,0.4 Crore,500 Crore,—
I Know What You Did Summer,9QABNfDhSxs,I KNOW WHAT YOU DID LAST SUMMER - Official Trailer (HD),22-04-2025 13:00,2084583,46956,5508,16-07-2025,5.817,"When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge.","Horror, Mystery, Thriller",0.0225,0.0026,0.0252,84,2.25,0.26,2.52,medium,1,0.35 Crore,155 Crore,—
Aankhon Ki Gustaakhiyan,JbCwz-1OHWE,Aankhon Ki Gustaakhiyan Official Trailer | Vikrant M | Shanaya K | Vishal M | In Cinemas 11th July,01-07-2025 13:57,11202829,44894,1877,11-07-2025,5.5,"When a blind musician and a theatre artist meet on a train and travel through the majestic Himalayas, they fall in love regardless of their apparent flaws. What happens when life takes over?","Drama, Romance",0.004,0.0002,0.0042,9,0.4,0.02,0.42,low,0,1.7 Crore,25 Crore,Flop
Maa,zwtZj6YB9xk,"Maa | Official Trailer | Kajol, Ronit Roy, Kherin Sharma | Netflix India",21-08-2025 08:30,665113,4985,325,02-08-1976,10,"Vijay lives with his mother in a palatial house deep in the jungles in South India where he makes a living trapping animals for circuses, zoos - both nationally and internationally. He meets with beautiful U.S.-returned Nimmi, both fall in love with each other and want to get married. Vijay's mother cautions them both against separating new-born animals from their birth mothers, but both refuse to listen. Then the unexpected happens, a mother lioness, angered at Vijay for taking her cubs, attacks him, and leaves him badly wounded.","Family, Drama",0.0075,0.0005,0.008,24,0.75,0.05,0.8,low,0,33.65 Crore,65 Crore,Flop
Housefull 5,xGQuT1wm2qk,Housefull 5 | Official Trailer | Sajid Nadiadwala | Tarun Mansukhani | In Cinemas on 6th June 2025,27-05-2025 08:07,32678185,610224,38310,05-06-2025,5.276,"A father writes his will — his son ""Jolly"" is going to get it all. But who is Jolly? The comedy unfolds as different people pose as the ""real"" Jolly on a cruise celebrating the father's birthday — where a murder takes place.","Comedy, Mystery, Thriller",0.0187,0.0012,0.0198,8,1.87,0.12,1.98,low,1,165.4 Crore,240 Crore,Average
How to Train Your Dragon,22w7z_lT6YM,How To Train Your Dragon | Official Trailer,12-02-2025 13:01,44676808,261698,16546,06-06-2025,8.008,"On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.","Fantasy, Family, Action, Adventure",0.0059,0.0004,0.0062,113,0.59,0.04,0.62,low,0,14 Crore,1423 Crore,Flop
Ballerina From John Wick,0FSwsrFpkbw,From the World of John Wick: Ballerina (2025) Official Trailer - Ana de Armas,26-09-2024 16:03,26690507,474803,24329,04-06-2025,7.323,"Taking place during the events of John Wick: Chapter 3 – Parabellum, Eve Macarro begins her training in the assassin traditions of the Ruska Roma.","Action, Thriller, Crime",0.0178,0.0009,0.0187,250,1.78,0.09,1.87,low,1,9 Crore,776 Crore,Flop
Materialists,4A_kmjtsJ7c,Materialists | Official Trailer HD | A24,18-03-2025 12:59,23026917,169887,7662,12-06-2025,6.5,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.","Romance, Drama",0.0074,0.0003,0.0077,85,0.74,0.03,0.77,low,0,3.8 Crore,172 Crore,Flop
Bhool Chuk Maaf,8E_IeWynvnc,Bhool Chuk Maaf | Official Trailer | Rajkummar R | Wamiqa G | Dinesh V | Karan S | 23rd May 2025,15-05-2025 11:31,12920051,61773,3451,23-05-2025,6.175,"Ranjan, a small-town romantic boy from Banaras, lands a government job to marry Titli, but forgets to vow to Lord Shiva, causing him to be trapped in a time loop. A tale of love, fate, and redemption unfolds, as Ranjan tries to end the loop and get married.","Comedy, Romance, Science Fiction",0.0048,0.0003,0.005,7,0.48,0.03,0.5,low,0,66.6 Crore,60 Crore,Hit
Raid 2,kQF1gl7nLaU,"RAID 2 (TRAILER): Ajay D | Riteish D | Vaani K | Raj K | Abhishek P | Kumar M | Bhushan K, Krishan K",08-04-2025 07:40,65074548,592102,30125,27-03-2014,7.6,"After fighting his way through an apartment building populated by an army of dangerous criminals and escaping with his life, SWAT team member Rama goes undercover, joining a powerful Indonesian crime syndicate to protect his family and uncover corrupt members of his own force.","Action, Crime, Thriller",0.0091,0.0005,0.0096,24,0.91,0.05,0.96,low,0,158 Crore,120 Crore,Hit
Mission Impossible 8,fsQgc9pCyDU,Mission: Impossible – The Final Reckoning | Official Trailer (2025 Movie) - Tom Cruise,07-04-2025 13:00,27593390,227040,14045,17-05-2025,7.281,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.","Action, Adventure, Thriller",0.0082,0.0005,0.0087,39,0.82,0.05,0.87,low,0,100 Crore,2568 Crore,Hit
Final Destination 6,UWMzKXsY9A4,Final Destination Bloodlines | Official Trailer,25-03-2025 15:00,41386358,342867,22851,14-05-2025,7.099,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.","Horror, Mystery",0.0083,0.0006,0.0088,49,0.83,0.06,0.88,low,0,56.4 Crore,341 Crore,Hit
Kesari Veer,nDAZqAuk5eM,"Kesari Veer (Trailer) Suniel Shetty, Vivek Oberoi, Akanksha Sharma, Sooraj Pancholi | Kanu Chauhan",29-04-2025 06:50,12532478,68930,4171,23-05-2025,8.5,"The movie narrates the tale of Hamirji Gohil, a brave warrior who fought against the Tughlaq Empire to protect the Somnath Temple and the Hindu faith.","Action, Drama, History",0.0055,0.0003,0.0058,23,0.55,0.03,0.58,low,0,1.5 Crore,50 Crore,Disaster
Kapkapiii,6QudgN2wmv0,"Kapkapiii Official Trailer | Sangeeth S | Shreyas T, Tusshar K, Siddhi | In Cinemas 23rd May",14-05-2025 07:17,9770421,56983,3270,23-05-2025,6,"In a men's hostel, seven bachelors try to summon a spirit via Ouija board.","Horror, Comedy",0.0058,0.0003,0.0062,8,0.58,0.03,0.62,low,0,0.75 Crore,25 Crore,Flop
Lilo & Stitch,VWqJifMMgZE,Lilo & Stitch | Official Trailer | In Theaters May 23,12-03-2025 16:00,25610271,259126,21452,17-05-2025,7.253,The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,"Family, Science Fiction, Comedy, Adventure",0.0101,0.0008,0.011,65,1.01,0.08,1.1,low,0,2.45 Crore,851 Crore,Flop
Kesari 2,r-7g08INMSI,KESARI CHAPTER 2 - OFFICIAL TRAILER | Akshay Kumar | R. Madhavan | Ananya | Karan S Tyagi | 18 April,03-04-2025 07:00,43442561,460146,20821,17-04-2025,6.763,"A dramatization of the life story of C. Sankaran Nair, the lawyer who fought for the truth behind the Jallianwala Bagh massacre.","Drama, History",0.0106,0.0005,0.0111,13,1.06,0.05,1.11,low,0,85.2 Crore,150 Crore,Flop
The Bhootnii,L8Wfzxch7Xo,"The Bhootnii (Official Trailer) | Sanjay D, Mouni R, Sunny S, Palak | Sidhaant S | Deepak M |1st May",29-03-2025 08:09,15088672,292427,57570,01-05-2025,7.5,"The Virgin Tree, based in the heart of St. Vincent's College, is home to a spirit who awakens every Valentine's Day  in response to the longing for true love. As strange incidents multiply, the Virgin Tree becomes a place of dread,  the authorities call in a veteran para-physicist to confront the entity.","Comedy, Horror, Romance",0.0194,0.0038,0.0232,32,1.94,0.38,2.32,medium,1,6.2 Crore,50 Crore,Flop
Thunderbolts,hUUszE29jS0,Marvel Studios’ Thunderbolts* | Big Game Trailer | In Theaters May 2,09-02-2025 23:54,16232946,253234,17500,30-04-2025,7.32,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.","Action, Science Fiction, Adventure",0.0156,0.0011,0.0167,79,1.56,0.11,1.67,low,1,26 Crore,1522 Crore,Flop
Jaat,#NAME?,,,,,,04-10-2010,6,"The story of Leena and Kai, a couple working in the rescue services, whose relationship falls into crisis as Kai becomes exhausted and depressed.","Drama, TV Movie",,,,24,,,,low,0,84.32 Crore,100 Crore,Average
Ground Zero,oAdc62oGzW8,Ground Zero | Official Trailer | Emraan Hashmi | Sai Tamhankar | Zoya Hussain,07-04-2025 08:00,35989826,217888,5006,26-06-2021,6.8,"A short action movie depicting the '1983 Hosan Prison Riot,' an important event in the 'PUBG Universe'.",Action,0.0061,0.0001,0.0062,24,0.61,0.01,0.62,low,0,6.75 Crore,50 Crore,Flop
Andaz Apna Apna ( Re Release),ggGMb7oVEHc,"Andaz Apna Apna | Re-Release Trailer | Aamir Khan, Salman Khan | Vinay Sinha, Rajkumar Santoshi",07-04-2025 06:52,350551,8465,611,25-04-2025,,,Unknown,0.0241,0.0017,0.0259,16,2.41,0.17,2.59,medium,1,1.25 Crore,2.9 Crore,Flop
Phule,#NAME?,,,,,,25-04-2025,0,"A biopic on Jyotiba and Savitribai Phule, considered to be a pioneering couple in India’s societal history. They are often credited for underlining the importance of the girls’ education and self-dependence.","History, Drama",,,,24,,,,low,0,4 Crore,25 Crore,Flop
Sinners,bKGxHflevuk,Sinners | Official Trailer,24-09-2024 12:57,22751741,157228,8184,16-04-2025,7.5,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.","Horror, Action, Thriller",0.0069,0.0004,0.0073,203,0.69,0.04,0.73,low,0,5.5 Crore,768 Crore,Flop
Sikandar,in6mSwNbXS0,"Sikandar | Official Trailer | Salman Khan, Rashmika Mandanna | Netflix India",24-05-2025 05:30,809250,11141,729,30-03-2025,0,"The film begins after Alexander the Great (Sikander in Hindi/Urdu) conquers Persia and the Kabul valley and approaches the Indian border at Jhelum. Sohrab Modi plays the Indian king Puru (Porus to the Greeks).  The story goes that when Sikander defeated Porus and imprisoned him, he asked Porus how would he like to be treated. Porus replied the same way a defeated king is treated by the winner (meaning killed).","War, Drama, History",0.0138,0.0009,0.0147,24,1.38,0.09,1.47,low,0,107.35 Crore,200 Crore,Flop
Minecraft Movie,wJO_vIDZn-I,A Minecraft Movie | Official Trailer,19-11-2024 20:00,31575166,495745,40841,31-03-2025,6.4,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.","Family, Fantasy, Comedy, Adventure, Action",0.0157,0.0013,0.017,131,1.57,0.13,1.7,low,1,14 Crore,1282 Crore,Flop
Chhava,hs3w32RG8L8,"Chhaava | Official Trailer | Vicky Kaushal, Rashmika Mandanna, Akshaye Khanna | Netflix India",10-04-2025 05:30,1473667,16188,740,16-02-2024,7,"Aurangzeb wished to turn Burhanpur into the capital city and appointed Bahadur Khan as the Subhedar who made the lives of its residents miserable. Unable to tolerate this, Chhatrapati Sambhaji Maharaj raids the city and saves the people from the unjust rule.","History, Drama, Action",0.011,0.0005,0.0115,24,1.1,0.05,1.15,low,0,547.4 Crore,140 Crore,Blockbuster
The Diplomat,lV6sJlBbhPs,The Diplomat | Official Trailer | Netflix,05-04-2023 14:00,3142817,21300,1122,11-01-2009,5.075,"A British diplomat is arrested on charges of working with Russian mafia. After death threats to his wife, they are taken into protective custody. Then the MI6 shows up with a new piece of the puzzle.","Action, Crime, Drama, Mystery, Thriller, TV Movie",0.0068,0.0004,0.0071,24,0.68,0.04,0.71,low,0,32.8 Crore,50 Crore,Flop
Chhava (Telugu),zMyras0t-s0,Chhaava Telugu Trailer | Vicky | Rashmika | Dinesh V | Laxman U | Allu Aravind | Bunny Vas | 7th Mar,03-03-2025 05:24,1218429,34813,1820,07-03-2025,,,Unknown,0.0286,0.0015,0.0301,16,2.86,0.15,3.01,medium,1,15.5 Crore,140 Crore,Blockbuster
